
GetOrganelle v1.6.2

get_organelle_from_reads.py assembles organelle genomes from genome skimming data.
Find updates in https://github.com/Kinggerm/GetOrganelle and see README.md for more information.

Python 3.6.5 (default, Sep 20 2018, 17:13:01)  [GCC 4.8.5 20150623 (Red Hat 4.8.5-28)]
Python libs: numpy 1.15.1; sympy 1.3; scipy 1.1.0; psutil 5.4.7
Dependencies: Bowtie2 2.3.5.1; SPAdes 3.13.0; Blast 2.2.30
/data/jinjianjun/.pyenv/versions/3.6.5/bin/get_organelle_from_reads.py -1 SRR4428742_250M_1.fastq -2 SRR4428742_250M_2.fastq -t 1 -J 1 -M 1 -R 1000 -s ../local_seed/NC_011942.1.Gnetum_parvifolium.complete_plastome.fasta -w 0.60 -o w0.60P2E5spades-unlimited--SRR4428742-plastome -k 35,75 -F embplant_pt -P 2E5

2019-09-22 15:35:36,835 - INFO: Pre-reading fastq ...
2019-09-22 15:35:36,835 - INFO: Estimating reads to use ...
2019-09-22 15:35:38,006 - INFO: Estimating reads to use finished.
2019-09-22 15:35:41,796 - INFO: Counting read qualities ...
2019-09-22 15:35:42,022 - INFO: Identified quality encoding format = Illumina 1.8+
2019-09-22 15:35:42,024 - INFO: Trimming bases with qualities (0.00%): 33..33  !
2019-09-22 15:35:42,147 - INFO: Mean error rate = 0.0061
2019-09-22 15:35:42,149 - INFO: Counting read lengths ...
2019-09-22 15:36:00,356 - INFO: Mean = 100.0 bp, maximum = 100 bp.
2019-09-22 15:36:00,357 - INFO: Reads used = 2500000+2500000
2019-09-22 15:36:00,358 - INFO: Pre-reading fastq finished.

2019-09-22 15:36:00,358 - INFO: Making seed reads ...
2019-09-22 15:36:00,371 - INFO: Making seed - bowtie2 index ...
2019-09-22 15:36:00,709 - INFO: Making seed - bowtie2 index finished.
2019-09-22 15:36:00,709 - INFO: Mapping reads to seed bowtie2 index ...
2019-09-22 15:37:50,641 - INFO: Mapping finished.
2019-09-22 15:37:50,642 - INFO: Seed reads made: w0.60P2E5spades-unlimited--SRR4428742-plastome/seed/embplant_pt.initial.fq (11058876 bytes)
2019-09-22 15:37:50,642 - INFO: Making seed reads finished.

2019-09-22 15:37:50,642 - INFO: Checking seed reads and parameters ...
2019-09-22 15:37:55,635 - INFO: Estimated embplant_pt-hitting base-coverage = 432.80
2019-09-22 15:37:55,636 - INFO: Setting '-w 60'
2019-09-22 15:37:55,636 - INFO: Setting '--max-extending-len inf'
2019-09-22 15:37:55,720 - INFO: Checking seed reads and parameters finished.

2019-09-22 15:37:55,721 - INFO: Making read index ...
2019-09-22 15:39:21,306 - INFO: Mem 1.573 G, 4355099 candidates in all 5000000 reads
2019-09-22 15:39:21,326 - INFO: Pre-grouping reads ...
2019-09-22 15:39:21,327 - INFO: Setting '--pre-w 60'
2019-09-22 15:39:22,753 - INFO: Mem 1.38 G, 200000/226166 used/duplicated
2019-09-22 15:39:45,012 - INFO: Mem 1.622 G, 5446 groups made.
2019-09-22 15:39:46,460 - INFO: Making read index finished.

2019-09-22 15:39:46,460 - INFO: Extending ...
2019-09-22 15:39:46,461 - INFO: Adding initial words ...
2019-09-22 15:39:48,318 - INFO: AW 126918
2019-09-22 15:41:58,857 - INFO: Round 1: 4355099/4355099 AI 151417 AW 1254686 Mem 0.667
2019-09-22 15:44:18,061 - INFO: Round 2: 4355099/4355099 AI 418669 AW 8461466 Mem 1.423
2019-09-22 15:46:46,915 - INFO: Round 3: 4355099/4355099 AI 929284 AW 23390196 Mem 3.802
2019-09-22 15:48:48,282 - INFO: Round 4: 4355099/4355099 AI 1183781 AW 32058516 Mem 4.728
2019-09-22 15:50:37,955 - INFO: Round 5: 4355099/4355099 AI 1314265 AW 36761618 Mem 5.23
2019-09-22 15:52:20,884 - INFO: Round 6: 4355099/4355099 AI 1387965 AW 39470556 Mem 5.519
2019-09-22 15:54:01,385 - INFO: Round 7: 4355099/4355099 AI 1429693 AW 41040518 Mem 5.734
2019-09-22 15:55:40,830 - INFO: Round 8: 4355099/4355099 AI 1458266 AW 42070920 Mem 5.844
2019-09-22 15:57:19,583 - INFO: Round 9: 4355099/4355099 AI 1479441 AW 42791594 Mem 5.921
2019-09-22 15:58:56,845 - INFO: Round 10: 4355099/4355099 AI 1493256 AW 43253296 Mem 5.97
2019-09-22 16:00:34,569 - INFO: Round 11: 4355099/4355099 AI 1504069 AW 43580638 Mem 6.005
2019-09-22 16:02:11,210 - INFO: Round 12: 4355099/4355099 AI 1513223 AW 43836296 Mem 6.033
2019-09-22 16:03:47,393 - INFO: Round 13: 4355099/4355099 AI 1520985 AW 44034234 Mem 6.054
2019-09-22 16:05:23,076 - INFO: Round 14: 4355099/4355099 AI 1528024 AW 44191864 Mem 6.071
2019-09-22 16:06:59,739 - INFO: Round 15: 4355099/4355099 AI 1534693 AW 44329128 Mem 6.086
2019-09-22 16:08:35,847 - INFO: Round 16: 4355099/4355099 AI 1540310 AW 44435534 Mem 6.097
2019-09-22 16:10:10,000 - INFO: Round 17: 4355099/4355099 AI 1546303 AW 44548968 Mem 6.109
2019-09-22 16:11:28,563 - INFO: Round 18: 4355099/4355099 AI 1551127 AW 44632142 Mem 6.118
2019-09-22 16:12:44,585 - INFO: Round 19: 4355099/4355099 AI 1554797 AW 44690356 Mem 6.125
2019-09-22 16:14:00,395 - INFO: Round 20: 4355099/4355099 AI 1557509 AW 44730032 Mem 6.129
2019-09-22 16:15:15,072 - INFO: Round 21: 4355099/4355099 AI 1560625 AW 44768984 Mem 7.133
2019-09-22 16:16:27,295 - INFO: Round 22: 4355099/4355099 AI 1563860 AW 44810042 Mem 7.138
2019-09-22 16:17:40,328 - INFO: Round 23: 4355099/4355099 AI 1566670 AW 44845086 Mem 7.141
2019-09-22 16:18:53,834 - INFO: Round 24: 4355099/4355099 AI 1569185 AW 44876754 Mem 7.145
2019-09-22 16:20:06,123 - INFO: Round 25: 4355099/4355099 AI 1571832 AW 44909308 Mem 7.148
2019-09-22 16:21:18,215 - INFO: Round 26: 4355099/4355099 AI 1574251 AW 44938690 Mem 7.151
2019-09-22 16:22:32,937 - INFO: Round 27: 4355099/4355099 AI 1576918 AW 44974688 Mem 7.155
2019-09-22 16:23:44,588 - INFO: Round 28: 4355099/4355099 AI 1579499 AW 45009286 Mem 7.159
2019-09-22 16:24:55,896 - INFO: Round 29: 4355099/4355099 AI 1581838 AW 45037908 Mem 7.162
2019-09-22 16:26:09,344 - INFO: Round 30: 4355099/4355099 AI 1584208 AW 45067708 Mem 7.165
2019-09-22 16:27:20,530 - INFO: Round 31: 4355099/4355099 AI 1586801 AW 45102732 Mem 7.169
2019-09-22 16:28:34,028 - INFO: Round 32: 4355099/4355099 AI 1589258 AW 45136190 Mem 7.173
2019-09-22 16:29:45,679 - INFO: Round 33: 4355099/4355099 AI 1591520 AW 45162988 Mem 7.176
2019-09-22 16:30:57,097 - INFO: Round 34: 4355099/4355099 AI 1593657 AW 45188026 Mem 7.178
2019-09-22 16:32:08,466 - INFO: Round 35: 4355099/4355099 AI 1595998 AW 45212858 Mem 7.181
2019-09-22 16:33:19,906 - INFO: Round 36: 4355099/4355099 AI 1597491 AW 45230198 Mem 7.183
2019-09-22 16:34:31,385 - INFO: Round 37: 4355099/4355099 AI 1598739 AW 45246160 Mem 7.185
2019-09-22 16:35:42,827 - INFO: Round 38: 4355099/4355099 AI 1600133 AW 45262436 Mem 7.187
2019-09-22 16:36:54,858 - INFO: Round 39: 4355099/4355099 AI 1601800 AW 45282934 Mem 7.189
2019-09-22 16:38:06,161 - INFO: Round 40: 4355099/4355099 AI 1603467 AW 45301836 Mem 7.191
2019-09-22 16:39:17,091 - INFO: Round 41: 4355099/4355099 AI 1605065 AW 45319280 Mem 7.193
2019-09-22 16:40:27,773 - INFO: Round 42: 4355099/4355099 AI 1606697 AW 45338168 Mem 7.195
2019-09-22 16:41:38,694 - INFO: Round 43: 4355099/4355099 AI 1608590 AW 45360746 Mem 7.197
2019-09-22 16:42:49,566 - INFO: Round 44: 4355099/4355099 AI 1610284 AW 45378350 Mem 7.199
2019-09-22 16:44:00,700 - INFO: Round 45: 4355099/4355099 AI 1611887 AW 45394638 Mem 7.201
2019-09-22 16:45:11,985 - INFO: Round 46: 4355099/4355099 AI 1613399 AW 45413508 Mem 7.203
2019-09-22 16:46:23,164 - INFO: Round 47: 4355099/4355099 AI 1614930 AW 45428120 Mem 7.204
2019-09-22 16:47:35,609 - INFO: Round 48: 4355099/4355099 AI 1616295 AW 45442012 Mem 7.206
2019-09-22 16:48:46,628 - INFO: Round 49: 4355099/4355099 AI 1617474 AW 45453162 Mem 7.207
2019-09-22 16:49:57,463 - INFO: Round 50: 4355099/4355099 AI 1618510 AW 45462680 Mem 7.208
2019-09-22 16:51:08,198 - INFO: Round 51: 4355099/4355099 AI 1619360 AW 45470212 Mem 7.209
2019-09-22 16:52:19,048 - INFO: Round 52: 4355099/4355099 AI 1620178 AW 45479022 Mem 7.21
2019-09-22 16:53:29,898 - INFO: Round 53: 4355099/4355099 AI 1620961 AW 45486566 Mem 7.211
